,time,energy_cashflow,energy_generation_costs,heat,power,simulation,soc,total_costs,unit
137,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_04_0
135,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_03_2
33,2013-01-22 01:00:00.000000,,0.15994199999999997,0.0,10.662799999999999,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_01
133,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_03_1
131,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_03_0
35,2013-01-22 01:00:00.000000,,3.78882,0.0,252.588,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_02
129,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_01_1
127,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_01_0
37,2013-01-22 01:00:00.000000,,1.774395,0.0,118.293,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_04
125,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_00_1
31,2013-01-22 01:00:00.000000,,37.3342515,0.0,2488.9501,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_offshore_07
107,2013-01-22 01:00:00.000000,,54.103944000000006,0.0,3606.9296000000004,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_07_1
45,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_01_0
109,2013-01-22 01:00:00.000000,,54.103944000000006,0.0,3606.9296000000004,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_07_2
111,2013-01-22 01:00:00.000000,,54.103944000000006,0.0,3606.9296000000004,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_07_3
