name,bus0,bus1,voltage,i_nom,circuits,s_nom,r,x,b,length
merged_way/288192154-220+1,way/152261133-220,way/32151621-220,220,1.29,2,983.112,0.603779,3.02896,0.00015807,20125.98
merged_way/28861606-380+1,DE193-380,DE195-380,380,2.58,2,3396.205,0.08761,0.718405,5.06E-05,5840.69
merged_way/290703850-380+3,way/42681484-380,way/274630377-380,380,2.58,2,3396.205,0.421666,3.457664,0.00024375,28111.09
merged_way/291125209-1-220+1,way/152973139-220,way/160929097-220,220,1.29,1,491.556,0.823292,4.130184,5.39E-05,13721.54
merged_way/29252732-380+2,way/24272339-380,way/23899043-380,380,2.58,2,3396.205,0.362616,2.973448,0.00020961,24174.37
merged_way/29252734-220+1,DE36-220,way/24262656-220,220,1.29,2,983.112,0.396792,1.990575,0.00010388,13226.41
merged_way/29291584-380+4,DE133-380,way/162176187-380,380,2.58,2,3396.205,0.509979,4.181829,0.0002948,33998.61
merged_way/29380943-220+3,way/113546939-220,way/63114179-220,220,1.29,2,983.112,0.241917,1.213617,6.33E-05,8063.9
merged_way/29472854-1-380+4,way/150200540-380,way/29472852-380,380,2.58,1,1698.103,0.063302,0.519075,9.15E-06,2110.06
merged_way/296529805-1-380+4,way/82773910-380,way/54359256-380,380,2.58,2,3396.205,0.351469,2.882045,0.00020317,23431.26
merged_way/30132577-1-380+2,way/26472665-380,DE25-380,380,2.58,1,1698.103,2.990556,24.522559,0.00043218,99685.2
merged_way/30132577-2-220+3,way/26472665-220,way/27149550-220,220,1.29,1,491.556,6.240679,31.307407,0.00040845,104011.32
merged_way/30181272-380+1,way/1280840211-380,way/1128250707-380,380,2.58,2,3396.205,0.857876,7.034584,0.0004959,57191.74
merged_way/30246219-1-380+3,DE198-380,DE197-380,380,2.58,2,3396.205,0.17845,1.46329,0.00010315,11896.67
merged_way/30286003-220+1,way/32148946-220,DE139-220,220,1.29,2,983.112,0.098342,0.49335,2.58E-05,3278.07
merged_way/30416989-380+1,way/941453716-380,DE9-380,380,2.58,2,3396.205,0.763579,6.261347,0.00044139,50905.26
merged_way/309079148-380+1,way/23022100-380,DE76-380,380,2.58,2,3396.205,0.193315,1.58518,0.00011175,12887.64
merged_way/30970013-1-380+3,way/57727004-380,way/727225348-380,380,2.58,1,1698.103,2.455645,20.136291,0.00035487,81854.84
merged_way/30970013-2-220+3,way/57727004-220,way/727225348-220,220,1.29,1,491.556,4.912328,24.643514,0.00032151,81872.14
merged_way/31311091-2-220+8,way/22796434-220,way/22767509-220,220,1.29,2,983.112,0.244922,1.228691,6.41E-05,8164.06
merged_way/31333769-1-380+8,DE144-380,way/22767509-380,380,2.58,2,3396.205,0.160236,1.313932,9.26E-05,10682.37
merged_way/31363228-1-380+1,way/31131320-380,way/41389594-380,380,2.58,1,1698.103,2.276136,18.664315,0.00032893,75871.2
