datetime,demand_CRM_pos,demand_CRM_neg,demand_EOM_north,demand_EOM_east,demand_EOM_west,demand_EOM_south
2019-01-03 12:30:00,2756,2827,10838.4,10838.4,25741.2,20322.0
2019-01-03 12:45:00,2756,2827,10814.08,10814.08,25683.44,20276.399999999998
2019-01-03 13:00:00,2756,2827,10769.92,10769.92,25578.56,20193.6
2019-01-03 13:15:00,2756,2827,10688.0,10688.0,25384.0,20040.0
2019-01-03 13:30:00,2756,2827,10626.56,10626.56,25238.08,19924.8
2019-01-03 13:45:00,2756,2827,10561.28,10561.28,25083.04,19802.399999999998
2019-01-03 14:00:00,2756,2827,10551.04,10551.04,25058.72,19783.2
2019-01-03 14:15:00,2756,2827,10503.68,10503.68,24946.24,19694.399999999998
2019-01-03 14:30:00,2756,2827,10480.64,10480.64,24891.52,19651.2
2019-01-03 14:45:00,2756,2827,10433.28,10433.28,24779.040000000005,19562.4
2019-01-03 15:00:00,2756,2827,10460.16,10460.16,24842.88,19612.8
2019-01-03 15:15:00,2756,2827,10391.680000000002,10391.680000000002,24680.24,19484.4
2019-01-03 15:30:00,2756,2827,10360.960000000001,10360.960000000001,24607.28,19426.8
2019-01-03 15:45:00,2756,2827,10394.24,10394.24,24686.32,19489.2
2019-01-03 16:00:00,2756,2827,10445.44,10445.44,24807.920000000002,19585.2
2019-01-03 16:15:00,2756,2827,10522.880000000001,10522.880000000001,24991.84,19730.399999999998
2019-01-03 16:30:00,2756,2827,10642.56,10642.56,25276.08,19954.8
2019-01-03 16:45:00,2756,2827,10827.52,10827.52,25715.36,20301.6
2019-01-03 17:00:00,2756,2827,11011.2,11011.2,26151.6,20646.0
2019-01-03 17:15:00,2756,2827,11095.68,11095.68,26352.24,20804.399999999998
2019-01-03 17:30:00,2756,2827,11141.12,11141.12,26460.16,20889.6
2019-01-03 17:45:00,2756,2827,11152.0,11152.0,26486.0,20910.0
2019-01-03 18:00:00,2756,2827,11112.32,11112.32,26391.760000000002,20835.6
2019-01-03 18:15:00,2756,2827,11068.800000000001,11068.800000000001,26288.4,20754.0
2019-01-03 18:30:00,2756,2827,11020.800000000001,11020.800000000001,26174.4,20664.0
2019-01-03 18:45:00,2756,2827,10993.28,10993.28,26109.04,20612.399999999998
2019-01-03 19:00:00,2756,2827,10916.48,10916.48,25926.64,20468.399999999998
2019-01-03 19:15:00,2756,2827,10782.72,10782.72,25608.96,20217.6
2019-01-03 19:30:00,2756,2827,10664.960000000001,10664.960000000001,25329.28,19996.8
2019-01-03 19:45:00,2756,2827,10591.36,10591.36,25154.48,19858.8
2019-01-03 20:00:00,2756,2827,10389.76,10389.76,24675.68,19480.8
2019-01-03 20:15:00,2756,2827,10192.64,10192.64,24207.52,19111.2
2019-01-03 20:30:00,2756,2827,10092.16,10092.16,23968.88,18922.8
2019-01-03 20:45:00,2756,2827,9955.84,9955.84,23645.12,18667.2
2019-01-03 21:00:00,2756,2827,9843.2,9843.2,23377.6,18456.0
2019-01-03 21:15:00,2756,2827,9759.36,9759.36,23178.48,18298.8
2019-01-03 21:30:00,2756,2827,9615.36,9615.36,22836.48,18028.8
2019-01-03 21:45:00,2756,2827,9560.960000000001,9560.960000000001,22707.28,17926.8
